Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
ANTH,390,002,10259,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,"11:00 - 12:15 Gender, Sexuality, a",Genome Sciences Building RBuilding,1373,"Curtin,Emily Jeanne"
ANTH,390,004,11469,SPECIAL TOPICS: MEDICAL ANTH,3,MW,15:35 - 16:50 Climate Change & Hea,Dey Hall RBuilding,0410,"Curtin,Emily Jeanne"
ANTH,390,005,11669,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,09:30 - 10:45 Faith and Healing,Alumni RBuilding,0203,"Hariharan,Anusha"
ANTH,390,006,12386,SPECIAL TOPICS: MEDICAL ANTH,3,TuTh,14:00 - 15:15,Phillips RBuilding,0265,"Hoke,Morgan Kathleen"
ANTH,390,007,13383,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,10:10 - 11:00,Alumni RBuilding,0207,Staff
ANTH,390,008,13384,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,12:20 - 13:20,Peabody RBuilding,2066,Staff
ANTH,390,009,13385,SPECIAL TOPICS: MEDICAL ANTH,3,MWF,14:30 - 15:20,Hanes Hall RBuilding,0112,Staff
ANTH,393,001,4911,ANTH INTERNSHIP,1,TBA,TBA,TBA RBuilding,TBA,"CHUA,JOCELYN LIM"
ANTH,393,042,5605,ANTH INTERNSHIP,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,001,9794,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,003,12992,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,036,9959,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,395,089,10840,RESEARCH IN ANTHROPOLOGY,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,001,12921,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,036,12923,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,067,5574,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,073,10051,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,076,9904,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,078,5275,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,082,4808,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,396,089,4809,IND READ OR STUDY ANTHRO,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,418,001,13414,CERAMIC ANALYSIS LAB,3,TuTh,11:00 - 12:15,Alumni RBuilding,0404,"STEPONAITIS,VINCAS P"
ANTH,420,001,14573,PUBLIC ARCHAEOLOGY,3,TuTh,14:00 - 15:15,Alumni RBuilding,0404,Staff
ANTH,427,001,13431,RACE,3,TuTh,15:30 - 16:45,Alumni RBuilding,0207,"PRICE,CHARLES R"
ANTH,437,001,11464,EVOLUTIONARY MEDICINE,3,TuTh,11:00 - 12:15,Mitchell RBuilding,0009,"Hoke,Morgan Kathleen"
ANTH,450,001,12474,ETHNOGRAPHIC RESEARCH METHODS,3,Tu,15:30 - 18:30,Alumni RBuilding,0205,"Stuesse,Angela Christine"
ANTH,470,001,2013,MEDICINE & ANTHRO,3,MWF,13:25 - 14:15,Fetzer Hall RBuilding,0106,"KING,MARTHA E"
ANTH,470,602,13644,MEDICINE & ANTHRO Recitation 3 A (In Person On Campus Learners),3,M,11:15 - 12:05,Alumni RBuilding,0308,Staff
ANTH,490,047,12422,UNDERGRAD SEMINAR ANTHRO,3,TuTh,11:00 - 12:15 Humans and/in The We,Alumni RBuilding,0203,"WIENER,MARGARET J"
ANTH,523,001,5126,PHONOLOGICAL THEORY I,3,TuTh,15:30 - 16:45,Dey Hall RBuilding,0304,"SMITH,JENNIFER L"
ANTH,537,001,14703,GENDER AND PERFORMANCE,3,TuTh,12:30 - 13:45,Graham Memorial RBuilding,0213,"Randolph,Antonia Maria"
ANTH,542,001,11398,PIDGINS AND CREOLES,3,TuTh,11:00 - 12:15,Dey Hall RBuilding,0304,"ROBERGE,PAUL T"
ANTH,550,001,13417,ARCHAEOLOGY AMERICAN SOUTH,3,TuTh,14:00 - 15:15,Tate Turner Kuralt RBuilding,0113,"STEPONAITIS,VINCAS P"
ANTH,582,001,13419,FIELDWORK MED ANTH,3,MWF,14:30 - 15:20,Alumni RBuilding,0205,"RIVKIN-FISH,MICHELE R"
ANTH,623,001,13420,HUMAN DISEASE ECOLOGY,3,MF,12:20 - 13:35,Gardner RBuilding,0210,"SORENSEN,MARK V"
ANTH,676,001,13421,RESEARCH METHODS IN HUMAN BIOL,3,W,11:15 - 13:45,Stone Center RBuilding,0200,"SORENSEN,MARK V"
ANTH,705,001,11466,ARCHAEOLOGICAL THEORY,3,Tu,09:30 - 12:00,Alumni RBuilding,0308,"AGBE-DAVIES,ANNA SOPHIA"
ANTH,750,001,13422,SEM IN MEDICAL ANTH,3,Th,11:00 - 14:30,Stone Center RBuilding,0200,"CHUA,JOCELYN LIM"
