Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
PHYS,992,14,6035,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"LAW,NICHOLAS M",FALSE
PHYS,992,15,6036,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"LOPEZ,RENE",FALSE
PHYS,992,16,6204,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Mann,Andrew W",FALSE
PHYS,992,17,6205,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"MERSINI-HOUGHTON,LAURA",FALSE
PHYS,992,18,6075,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Nicholson,Amy Nicole",FALSE
PHYS,992,19,6037,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"OLDENBURG,AMY LYNN",FALSE
PHYS,992,20,6038,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"SUPERFINE,RICHARD",FALSE
PHYS,992,21,6039,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"TSUI,FRANK",FALSE
PHYS,992,22,6040,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"ZHOU,OTTO Z",FALSE
PHYS,992,23,6041,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"WU,YUE",FALSE
PHYS,992,24,6074,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Wilkerson,John Franklin",FALSE
PHYS,992,25,6042,MASTER'S (NON-THESIS),3,TBA,TBA,TBA,TBA,"Rodriguez,Carl Louis",FALSE
PHYS,993,1,5963,MASTER'S RESEARCH AND THESIS,3,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,994,1,5962,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Ayangeakaa,Akaa Daniel",FALSE
PHYS,994,2,6043,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Bai,Wubin",FALSE
PHYS,994,3,6044,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Basar,Kemal Gokce",FALSE
PHYS,994,4,6045,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"BRANCA,ROSA TAMARA",FALSE
PHYS,994,5,6046,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"CHAMPAGNE,ARTHUR E",FALSE
PHYS,994,6,6047,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"CLEMENS,JAMES C",FALSE
PHYS,994,7,6129,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"DOLAN,LOUISE A",FALSE
PHYS,994,8,6048,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"DRUT,JOAQUIN EMILIANO",FALSE
PHYS,994,9,6049,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"ENGEL,JONATHAN H",FALSE
PHYS,994,10,6050,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"ERICKCEK,ADRIENNE LYNN",FALSE
PHYS,994,11,6051,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"EVANS,CHARLES R",FALSE
PHYS,994,12,6052,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Gruszko,Julieta",FALSE
PHYS,994,13,6053,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"HEITSCH,FABIAN",FALSE
PHYS,994,14,6054,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"HENNING,REYCO",FALSE
PHYS,994,15,6055,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"ILIADIS,CHRISTIAN G",FALSE
PHYS,994,16,6206,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Janssens,Robert Victor",FALSE
PHYS,994,17,6207,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"LAW,NICHOLAS M",FALSE
PHYS,994,18,6076,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"LOPEZ,RENE",FALSE
PHYS,994,19,6056,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Mann,Andrew W",FALSE
PHYS,994,20,6057,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"MCNEIL,LAURIE E",FALSE
PHYS,994,21,6058,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"MERSINI-HOUGHTON,LAURA",FALSE
PHYS,994,22,6059,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Nicholson,Amy Nicole",FALSE
PHYS,994,23,6060,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"OLDENBURG,AMY LYNN",FALSE
PHYS,994,24,6073,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"REICHART,DANIEL E",FALSE
PHYS,994,25,6061,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Rodriguez,Carl Louis",FALSE
PHYS,994,26,6062,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"SUPERFINE,RICHARD",FALSE
PHYS,994,27,6063,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"TSUI,FRANK",FALSE
PHYS,994,28,6064,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"WALLACE,COLIN",FALSE
PHYS,994,29,6065,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"Wilkerson,John Franklin",FALSE
PHYS,994,30,6066,DOCT RESEARCH AND DISSERTATION,3,TBA,TBA,TBA,TBA,"WU,YUE",FALSE
